976,A
977,R
978,A
979,A
980,SR
981,A
982,R
983,A
984,A
985,A
986,A
987,R
988,A
989,A
990,A
991,A
992,A
993,A
994,A
995,A
996,A
997,A
998,A
999,A
1000,A
1001,R
1002,A
1003,A
1004,R
1005,SR
1006,R
1007,A
1008,A
1009,SR
1010,A
1011,A
1012,SR
1013,SR
1014,SR
1015,R
1016,SR
1017,A
1018,R
1019,A
1020,A
1021,A
1022,A
1023,A
1024,A
1025,A
1026,R
1027,A
1028,SR
1029,A
1030,A
1031,A
1032,A
1033,R
1034,A
1035,R
1036,A
1037,R
1038,R
1039,A
1040,R
1041,R
1042,R
1043,SR
1044,R
1045,R
1046,R
1047,R
1048,R
1049,R
1050,SR
1051,A
1052,R
1053,R
1054,R
1055,A
1056,A
1057,A
1058,A
1059,A
1060,SR
1061,A
1062,A
1063,A
1064,A
1065,A
1066,A
1067,A
1068,R
1069,SR
1070,A
1071,A
1072,R
1073,A
1074,A
1075,R
1076,R
1077,A
1078,A
1079,A
1080,A
1081,A
1082,A
1083,A
1084,R
1085,SR
1086,R
1087,A
1088,A
1089,A
1090,A
1091,A
1092,A
1093,A
1094,A
1095,A
1096,A
1097,A
1098,A
1099,SR
1100,R
1101,A
1102,A
1103,A
1104,A
1105,A
1106,A
1107,A
1108,R
1109,A
1110,A
1111,A
1112,A
1113,A
1114,A
1115,A
1116,A
1117,A
1118,R
1119,A
1120,A
1121,SR
1122,A
1123,SR
1124,A
1125,R
1126,A
1127,A
1128,A
1129,A
1130,A
1131,A
1132,A
1133,A
1134,A
1135,A
1136,A
1137,R
1138,A
1139,A
1140,A
1141,A
1142,A
1143,A
1144,A
1145,A
1146,A
1147,SR
1148,A
1149,R
1150,A
1151,A
1152,A
1153,A
1154,R
1155,A
1156,A
1157,A
1158,SR
1159,R
1160,A
1161,A
1162,A
1163,A
1164,A
1165,A
1166,A
1167,A
1168,A
1169,A
1170,R
1171,A
1172,A
1173,A
1174,A
1175,A
1176,SR
1177,A
1178,A
1179,A
1180,R
1181,A
1182,R
1183,A
1184,A
1185,R
1186,A
1187,A
1188,R
1189,A
1190,A
1191,R
1192,SR
1193,A
1194,R
1195,A
1196,A
1197,A
